"id","long","lat","order","hole","piece","group","STATE_NAME","DRAWSEQ","STATE_FIPS","SUB_REGION","STATE_ABBR"
"0",-157.89813434,21.33014435,55,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.94630634,21.30606135,56,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.09883334,21.29000835,57,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.13095134,21.35423235,58,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.23531834,21.47465235,59,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.24334234,21.53887935,60,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.26743134,21.58704235,61,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.11489434,21.57901635,62,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-158.04262634,21.67535035,63,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.98642834,21.69943335,64,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.91417934,21.63520835,65,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.84995934,21.50675835,66,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.80981534,21.43450535,67,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.76164334,21.45858735,68,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.71347234,21.38633535,69,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-157.67333034,21.29802735,70,FALSE,"3","0.3","Hawaii",1,"15","Pacific","HI"
"0",-159.33517434,21.94834335,71,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.43954534,21.86807135,72,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.57602135,21.88413635,73,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.64024735,21.94836535,74,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.73659235,21.96442035,75,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.80081435,22.03666635,76,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.71250635,22.14905935,77,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.57601235,22.21317935,78,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.39136734,22.22912035,79,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.34319534,22.19701635,80,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.29502534,22.12481235,81,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.32713034,22.04463935,82,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-159.33517434,21.94834335,83,FALSE,"4","0.4","Hawaii",1,"15","Pacific","HI"
"0",-156.71787234,21.13741935,84,FALSE,"5","0.5","Hawaii",1,"15","Pacific","HI"
